lga_code16,lga_name,erp_2016pr
10050,albury,52165
10130,armidale regional,30311
10250,ballina,42626
10300,balranald,2310
10470,bathurst regional,42389
10550,bega valley,33946
10600,bellingen,12893
10650,berrigan,8572
10750,blacktown,347591
10800,bland,6031
10850,blayney,7418
10900,blue mountains,78705
10950,bogan,2768
11100,botany bay,49058
11150,bourke,2787
11200,brewarrina,1725
11250,broken hill,18027
13910,hilltops,18841
14000,hornsby,147661
14100,hunters hill,14638
14170,inner west,192030
14200,inverell,16778
14300,junee,6462
14350,kempsey,29454
14400,kiama,22044
14500,ku-ring-gai,123143
14550,kyogle,9072
14600,lachlan,6352
14650,lake macquarie,202847
14700,lane cove,37810
14750,leeton,11418
14850,lismore,44054
14870,lithgow,21524
14900,liverpool,212232
14920,liverpool plains,7874
14950,lockhart,3182
15050,maitland,79340
15240,mid-coast,91958
15270,mid-western regional,24569
15300,moree plains,13590
15350,mosman,30215
15520,murray river,11887
15560,murrumbidgee,3933
15650,muswellbrook,16468
15700,nambucca,19521
15750,narrabri,13481
15800,narrandera,5976
15850,narromine,6599
15900,newcastle,160919
15950,north sydney,72037
15990,northern beaches,266344
16100,oberon,5399
16150,orange,41384
16200,parkes,14946
16260,parramatta,234968
16350,penrith,201400
11300,burwood,38495
11350,byron,32790
11400,cabonne,13625
11450,camden,80476
11500,campbelltown,161409
11520,canada bay,92382
11570,canterbury-bankstown,361551
11600,carrathool,2803
11650,central coast,335309
11700,central darling,1875
11720,cessnock,56762
11730,clarence valley,51367
11750,cobar,4764
11800,coffs harbour,74641
12000,coolamon,4403
12150,coonamble,4082
12350,cowra,12673
12380,cumberland,226051
12700,dungog,9114
12730,edward river,8951
12750,eurobodalla,37968
12850,fairfield,206436
12870,federation,12411
12900,forbes,9808
12930,georges river,153452
12950,gilgandra,4309
13010,glen Innes severn,8942
13310,goulburn mulwaree,30150
13340,greater hume shire,10509
13450,griffith,26422
13510,gundagai,11286
13550,gunnedah,12551
13660,gwydir,5326
13800,hawkesbury,66136
13850,hay,2975
16380,port macquarie-hastings,79905
16400,port stephens,71118
16490,queanbeyan-palerang regional,58128
16550,randwick,149276
16610,richmond valley,23164
16650,rockdale,115822
16700,ryde,121807
16900,shellharbour,70511
16950,shoalhaven,101777
17000,singleton,23595
17040,snowy monaro regional,20617
17080,snowy valleys,14644
17420,the hills shire,162539
17550,tweed,93458
17620,upper hunter shire,14409
17640,upper lachlan shire,7841
17650,uralla,6159
17750,wagga wagga,64085
17850,walcha,3144
17900,walgett,6369
17950,warren,2802
18020,warrumbungle shire,9541
18050,waverley,72106
18100,weddin,3692
18200,wentworth,6920
18230,western plains regional,51429
18250,willoughby,78017
18350,wingecarribee,49070
18400,wollondilly,49742
18450,wollongong,211201
18500,woollahra,58290
18710,yass valley,16628
19399,unincorporated nsw,1108
17350,temora,6236
17400,tenterfield,6667
17100,strathfield,42331
17150,sutherland shire,226041
17200,sydney,224211
17310,tamworth regional,60998