 lga_code_2016, lga_name16,median_aud
30250,Aurukun,24554
30300,Balonne,38395
30370,Banana,45740
30410,Barcaldine,39688
30450,Barcoo,39033
30760,Blackall-Tambo,37976
34710,Longreach,43753
34770,Mackay,54068
34800,McKinlay,40568
34830,Mapoon,null
34860,Maranoa,43933
34880,Mareeba,36547
35010,Moreton Bay,45503
35250,Mornington,30876
35300,Mount Isa,65406
35600,Murweh,40959
35670,Napranum,37449
35740,Noosa,36356
35760,North Burnett,28816
35780,Northern Peninsula Area,35610
35790,Palm Island,35477
35800,Paroo,36284
36070,Pormpuraaw,22400
36150,Quilpie,37455
36250,Redland,47046
36300,Richmond,36528
36370,Rockhampton,48904
36510,Scenic Rim,38986
36580,Somerset,39499
36630,South Burnett,35671
36660,Southern Downs,34162
36720,Sunshine Coast,39725
36820,Tablelands,35088
36910,Toowoomba,44395
36950,Torres,47348
36960,Torres Strait Island,34115
37010,Townsville,51011
30900,Boulia,45168
31000,Brisbane,50120
31750,Bulloo,56946
31820,Bundaberg,37991
31900,Burdekin,41924
31950,Burke,41600
32080,Cairns,44387
32250,Carpentaria,43628
32260,Cassowary Coast,36374
32270,Central Highlands,54867
32310,Charters Towers,41566
37340,Whitsunday,41290
32330,Cherbourg,36467
32450,Cloncurry,56963
32500,Cook,35153
32600,Croydon,33310
37300,Weipa,76332
37310,Western Downs,43402
32750,Diamantina,46346
34420,Kowanyama,23112
34530,Livingstone,47895
34570,Lockhart River,23036
34580,Lockyer Valley,39434
34590,Logan,44940
32770,Doomadgee,31811
32810,Douglas,37107
33100,Etheridge,26952
33200,Flinders,36846
33220,Fraser Coast,37878
33360,Gladstone,60551
33430,Gold Coast,41869
33610,Goondiwindi,38082
33620,Gympie,35283
33800,Hinchinbrook,42134
33830,Hope Vale,34435
33960,Ipswich,47176
33980,Isaac,69973
37400,Winton,38059
37550,Woorabinda,31688
37570,Wujal Wujal,30397
37600,Yarrabah,36990