lga_name, lga_code, obese_p_1_count
Aurukun,30250,null
Balonne,30300,1430
Banana,30370,3827
Barcaldine,30410,null
Barcoo,30450,null
Blackall Tambo,30760,null
Central Highlands,32270,7786
Charters Towers,32310,3476
Ipswich,33960,46167
Isaac,33980,5603
Kowanyama,34420,null
Lockhart River,34570,null
Lockyer Valley,34580,10192
Logan,34590,72861
Longreach,34710,null
Mackay,34770,30815
Boulia,30900,null
Brisbane,31000,201250
McKinlay,34800,null
Bulloo,31750,null
Bundaberg,31820,26962
Burdekin,31900,4823
Burke,31950,null
Cairns,32070,38387
Carpentaria,32250,null
Cassowary Coast,32260,8588
Cherbourg,32330,430
Cloncurry,32450,null
Cook,32500,null
Croydon,32600,null
Gold Coast,33430,119742
Goondiwindi,33610,3220
Gympie,33620,14061
Pormpuraaw,36070,null
Diamantina,32750,null
Hinchinbrook,33800,3304
Hope Vale,33830,null
Quilpie,36150,null
Doomadgee,32770,null
Etheridge,33100,null
Flinders,33200,null
Fraser Coast,33220,29651
Gladstone,33360,16566
Mapoon,34830,null
Maranoa,34860,3883
Moreton Bay,35010,99511
Mornington,35250,null
Mount Isa,35300,5151
Murweh,35600,null
Napranum,35670,null
North Burnett,35760,3326
Northern Peninsula Area,35780,null
Redland,36250,34150
Richmond,36300,null
Rockhampton,36360,31246
Scenic Rim,36510,10199
Somerset,36580,5986
South Burnett,36630,9799
Southern Downs,36660,9903
Sunshine Coast,36710,78304
Tablelands,36810,10913
Toowoomba,36910,43237
Torres,36950,null
Torres Strait Island,36960,null
Townsville,37010,42888
Palm Island,35790,668
Paroo,35800,null
Weipa,37300,null
Western Downs,37310,9504
Whitsunday,37340,8502
Winton,37400,null
Woorabinda,37550,null
Wujal Wujal,37570,null
Yarrabah,37600,714